time,Delta,Litter,Group
101,0,1,Treatment
104,0,2,Treatment
104,0,3,Treatment
77,0,4,Treatment
89,0,5,Treatment
88,1,6,Treatment
104,1,7,Treatment
96,1,8,Treatment
82,0,9,Treatment
70,1,10,Treatment
89,1,11,Treatment
91,0,12,Treatment
39,1,13,Treatment
103,1,14,Treatment
93,0,15,Treatment
85,0,16,Treatment
104,0,17,Treatment
104,0,18,Treatment
81,0,19,Treatment
67,1,20,Treatment
104,0,21,Treatment
104,0,22,Treatment
104,0,23,Treatment
87,0,24,Treatment
104,0,25,Treatment
104,0,1,Control
104,0,2,Control
104,0,3,Control
97,0,4,Control
104,0,5,Control
104,0,6,Control
94,0,7,Control
104,0,8,Control
104,0,9,Control
104,0,10,Control
91,0,11,Control
92,0,12,Control
50,1,13,Control
91,0,14,Control
104,0,15,Control
104,0,16,Control
104,0,17,Control
104,0,18,Control
104,0,19,Control
104,0,20,Control
104,0,21,Control
104,0,22,Control
83,0,23,Control
104,0,24,Control
104,0,25,Control
49,1,1,Control
102,0,2,Control
104,0,3,Control
79,0,4,Control
104,0,5,Control
96,1,6,Control
77,1,7,Control
104,0,8,Control
77,0,9,Control
77,0,10,Control
90,0,11,Control
70,0,12,Control
45,0,13,Control
69,0,14,Control
103,0,15,Control
72,0,16,Control
63,0,17,Control
74,0,18,Control
69,0,19,Control
68,1,20,Control
104,0,21,Control
104,0,22,Control
40,1,23,Control
104,0,24,Control
104,0,25,Control
89,0,26,Treatment
78,0,27,Treatment
104,0,28,Treatment
86,1,29,Treatment
34,1,30,Treatment
76,0,31,Treatment
103,1,32,Treatment
102,1,33,Treatment
80,1,34,Treatment
45,1,35,Treatment
94,1,36,Treatment
104,0,37,Treatment
104,0,38,Treatment
76,0,39,Treatment
80,1,40,Treatment
72,1,41,Treatment
73,1,42,Treatment
92,1,43,Treatment
104,0,44,Treatment
55,0,45,Treatment
49,0,46,Treatment
89,1,47,Treatment
88,0,48,Treatment
103,1,49,Treatment
104,0,50,Treatment
104,0,26,Control
104,0,27,Control
81,1,28,Control
94,0,29,Control
104,0,30,Control
87,0,31,Control
84,1,32,Control
104,0,33,Control
104,0,34,Control
104,0,35,Control
104,0,36,Control
104,0,37,Control
101,1,38,Control
84,1,39,Control
80,1,40,Control
104,0,41,Control
104,0,42,Control
104,0,43,Control
98,0,44,Control
104,0,45,Control
83,0,46,Control
104,0,47,Control
99,0,48,Control
104,0,49,Control
104,0,50,Control
104,0,26,Control
104,0,27,Control
64,1,28,Control
55,1,29,Control
54,1,30,Control
74,0,31,Control
73,1,32,Control
80,0,33,Control
73,0,34,Control
79,0,35,Control
104,0,36,Control
104,0,37,Control
94,0,38,Control
78,1,39,Control
76,0,40,Control
95,0,41,Control
66,1,42,Control
102,1,43,Control
78,0,44,Control
104,0,45,Control
77,0,46,Control
104,0,47,Control
79,0,48,Control
91,0,49,Control
79,1,50,Control
